"Element","h_index","g_index","m_index","TC","NP","PY_start"
"CHATER N","13","20","0.500","1997","20","1997"
"DEHAENE S","13","17","0.542","6192","17","1999"
"CHRISTIANSEN MH","10","11","0.417","1262","11","1999"
"BLOOM P","9","11","0.346","522","11","1997"
"FRIEDERICI AD","9","10","0.429","2553","10","2002"
"FRISTON KJ","9","13","0.346","2020","13","1997"
"FRITH CD","9","11","0.429","2670","11","2002"
"MCCLELLAND JL","9","11","0.375","1068","11","1999"
"MOSCOVITCH M","9","9","0.375","576","9","1999"
"SCHACTER DL","9","10","0.346","1162","10","1997"
"TOMASELLO M","9","10","0.391","2053","10","2000"
"BLOCK N","8","10","0.400","743","10","2003"
"ENGEL AK","8","9","0.308","2174","9","1997"
"GALLESE V","8","8","0.320","3841","8","1998"
"ROBBINS TW","8","10","0.308","4613","10","1997"
"SUDDENDORF T","8","10","0.364","478","10","2001"
"BASSETT DS","7","7","0.583","454","7","2011"
"KEYSERS C","7","8","0.333","2778","8","2002"
"KOCH C","7","11","0.350","1353","11","2003"
"LAMME VAF","7","7","0.350","1473","7","2003"
"OCHSNER KN","7","7","0.389","4376","7","2005"
"OWEN AM","7","8","0.269","290","8","1997"
"POLDRACK RA","7","7","0.368","4737","7","2004"
"POSNER MI","7","8","0.304","5070","8","2000"
"SINGER W","7","7","0.269","1663","7","1997"
"WALSH V","7","10","0.280","1866","10","1998"
"ADOLPHS R","6","6","0.250","1535","6","1999"
"BARRETT LF","6","6","0.375","797","6","2007"
"BEHRMANN M","6","7","0.333","979","7","2005"
"CALL J","6","8","0.273","1112","8","2001"
"CAVANAGH P","6","9","0.231","1306","9","1997"
"CORBALLIS MC","6","9","0.240","257","9","1998"
"DAYAN P","6","6","0.286","769","6","2002"
"DOLAN RJ","6","7","0.231","749","7","1997"
"GALLAGHER S","6","7","0.261","1941","7","2000"
"GELMAN SA","6","6","0.316","446","6","2004"
"HAUSER MD","6","7","0.250","435","7","1999"
"JOHNSON-LAIRD PN","6","8","0.273","540","8","2001"
"LEWIS PA","6","6","0.286","577","6","2002"
"MAGUIRE EA","6","6","0.231","1025","6","1997"
"NORTHOFF G","6","8","0.316","1210","8","2004"
"TSUCHIYA N","6","7","0.375","957","7","2007"
"ULLSPERGER M","6","7","0.316","609","7","2004"
"BAR M","5","6","0.313","1229","6","2007"
"BARCH DM","5","5","0.294","1084","5","2006"
"BLAKEMORE SJ","5","5","0.238","1383","5","2002"
"BOLHUIS JJ","5","5","0.227","240","5","2001"
"BROWN GDA","5","5","0.357","530","5","2009"
"BURGESS N","5","5","0.208","687","5","1999"
"BURR D","5","5","0.333","609","5","2008"
"CABEZA R","5","5","0.200","773","5","1998"
"CLARK A","5","5","0.208","666","5","1999"
"CLAYTON NS","5","5","0.238","119","5","2002"
"CLEEREMANS A","5","6","0.200","734","6","1998"
"CLIFFORD CWG","5","5","0.238","203","5","2002"
"COHEN MA","5","7","0.417","572","7","2011"
"DAVIDSON RJ","5","5","0.208","2768","5","1999"
"EGNER T","5","5","0.333","2762","5","2008"
"GHAZANFAR AA","5","5","0.208","1629","5","1999"
"GRAINGER J","5","5","0.263","453","5","2004"
"GRIFFITHS TL","5","5","0.294","773","5","2006"
"GRILL-SPECTOR K","5","5","0.227","1786","5","2001"
"GROSS JJ","5","5","0.278","2790","5","2005"
"HEYES C","5","6","0.227","877","6","2001"
"INZLICHT M","5","5","0.455","1215","5","2012"
"IVRY RB","5","5","0.192","1050","5","1997"
"JOHNSON MH","5","6","0.278","970","6","2005"
"LAU H","5","6","0.417","524","6","2011"
"MARCUS GF","5","9","0.192","185","9","1997"
"MARTIN A","5","6","0.217","1723","6","2000"
"MOBBS D","5","8","0.417","231","8","2011"
"MUNAKATA Y","5","5","0.227","706","5","2001"
"NADEL L","5","6","0.208","355","6","1999"
"NIEDER A","5","6","0.333","275","6","2008"
"PALLER KA","5","6","0.238","1032","6","2002"
"PESSOA L","5","5","0.200","1134","5","1998"
"PICKERING MJ","5","5","0.208","961","5","1999"
"PRICE CJ","5","5","0.200","1130","5","1998"
"RANGANATH C","5","5","0.278","1057","5","2005"
"ROELFSEMA PR","5","5","0.192","677","5","1997"
"ROEPSTORFF A","5","5","0.238","344","5","2002"
"RUGG MD","5","5","0.217","1635","5","2000"
"SCOTT SK","5","5","0.263","359","5","2004"
"SETH AK","5","6","0.333","1031","6","2008"
"SPORNS O","5","5","0.200","3116","5","1998"
"SUMMERFIELD C","5","5","0.313","1368","5","2007"
"TYLER LK","5","6","0.200","549","6","1998"
"VERGUTS T","5","5","0.263","275","5","2004"
"WAXMAN SR","5","5","0.357","254","5","2009"
"WOLPERT DM","5","5","0.192","3354","5","1997"
"ANDERSON MC","4","4","0.190","623","4","2002"
"ARON AR","4","4","0.211","3224","4","2004"
"BADRE D","4","4","0.267","838","4","2008"
"BAILLARGEON R","4","4","0.190","716","4","2002"
"BAKER CI","4","5","0.267","229","5","2008"
"BARGH JA","4","4","0.211","447","4","2004"
"BELIN P","4","4","0.190","1911","4","2002"
"BERWICK RC","4","4","0.333","564","4","2011"
"BESTMANN S","4","4","0.267","300","4","2008"
"BRANNON EM","4","4","0.200","368","4","2003"
"BUCKNER RL","4","5","0.160","3072","5","1998"
"CAMERER CF","4","4","0.200","641","4","2003"
"CARAMAZZA A","4","5","0.200","629","5","2003"
"CHRISTOFF K","4","5","0.235","236","5","2006"
"CHUN MM","4","4","0.174","733","4","2000"
"CIKARA M","4","5","0.667","107","5","2017"
"COHEN L","4","4","0.200","2455","4","2003"
"COLTHEART M","4","4","0.154","223","4","1997"
"CROCKETT MJ","4","5","0.400","181","5","2013"
"CSIBRA G","4","5","0.154","1551","5","1997"
"D'ESPOSITO M","4","4","0.200","1536","4","2003"
"DE GELDER B","4","5","0.174","278","5","2000"
"DEARY IJ","4","4","0.182","273","4","2001"
"DEBENER S","4","5","0.211","1276","5","2004"
"DECETY J","4","4","0.167","1454","4","1999"
"DENNETT DC","4","4","0.333","400","4","2011"
"DUNBAR RIM","4","4","0.364","302","4","2012"
"ELLIS HD","4","6","0.154","362","6","1997"
"FEDORENKO E","4","4","0.308","387","4","2010"
"FRENCH RM","4","5","0.167","796","5","1999"
"FRITH U","4","4","0.154","281","4","1997"
"GALLISTEL CR","4","6","0.174","683","6","2000"
"GAUTHIER I","4","6","0.174","416","6","2000"
"GOLDSTONE RL","4","4","0.200","214","4","2003"
"GRAFMAN J","4","4","0.154","276","4","1997"
"HARE B","4","4","0.200","939","4","2003"
"HARIRI AR","4","4","0.235","603","4","2006"
"HASSON U","4","6","0.190","1342","6","2002"
"HERTWIG R","4","4","0.160","561","4","1998"
"HICKOK G","4","4","0.160","823","4","1998"
"HOLCOMBE AO","4","4","0.190","241","4","2002"
"HOLT LL","4","4","0.235","341","4","2006"
"HUMPHREYS GW","4","4","0.154","613","4","1997"
"HUSAIN M","4","5","0.154","491","5","1997"
"JACKENDOFF R","4","4","0.167","271","4","1999"
"JACOB P","4","5","0.222","416","5","2005"
"JENSEN O","4","4","0.222","885","4","2005"
"KADOSH RC","4","4","0.250","338","4","2007"
"KAHANA MJ","4","4","0.167","318","4","1999"
"KANE MJ","4","4","0.200","846","4","2003"
"KANWISHER N","4","4","0.174","508","4","2000"
"KASTNER S","4","5","0.222","590","5","2005"
"KNOBLICH G","4","4","0.190","1132","4","2002"
"KOECHLIN E","4","4","0.250","878","4","2007"
"KRINGELBACH ML","4","5","0.286","446","5","2009"
"LEDOUX JE","4","4","0.154","205","4","1997"
"LESLIE AM","4","4","0.160","817","4","1998"
"LEVINSON SC","4","4","0.211","681","4","2004"
"LINDENBERGER U","4","4","0.182","1213","4","2001"
"LUCK SJ","4","4","0.160","1411","4","1998"
"MAJID A","4","5","0.190","374","5","2002"
"MALACH R","4","4","0.190","724","4","2002"
"MECK WH","4","4","0.250","579","4","2007"
"MONTAGUE PR","4","5","0.167","477","5","1999"
"MOORE T","4","4","0.235","452","4","2006"
"NEWCOMBE NS","4","4","0.235","133","4","2006"
"NIV Y","4","5","0.235","502","5","2006"
"NOBRE AC","4","4","0.211","912","4","2004"
"NOE A","4","4","0.200","29","4","2003"
"NORMAN KA","4","4","0.154","1844","4","1997"
"NYBERG L","4","4","0.160","932","4","1998"
"OBERAUER K","4","4","0.286","185","4","2009"
"OVERGAARD M","4","5","0.267","283","5","2008"
"PASCUAL-LEONE A","4","4","0.160","500","4","1998"
"PASSINGHAM RE","4","4","0.308","305","4","2010"
"PATTERSON K","4","4","0.154","392","4","1997"
"PERNER J","4","4","0.167","674","4","1999"
"PETERSEN SE","4","4","0.160","1219","4","1998"
"PEZZULO G","4","4","0.444","394","4","2014"
"PINKER S","4","4","0.190","601","4","2002"
"PLAUT DC","4","5","0.167","388","5","1999"
"PRESS C","4","4","0.500","124","4","2015"
"SANFEY AG","4","4","0.211","334","4","2004"
"SAXE R","4","6","0.222","234","6","2005"
"SCHOLL BJ","4","4","0.160","850","4","1998"
"SCHOOLER JW","4","5","0.190","885","5","2002"
"SCHYNS PG","4","4","0.154","166","4","1997"
"SEIDENBERG MS","4","5","0.160","386","5","1998"
"SHOHAMY D","4","4","0.308","913","4","2010"
"SIMONS DJ","4","4","0.154","1765","4","1997"
"SINGER T","4","4","0.235","1805","4","2006"
"SIRIGU A","4","5","0.235","560","5","2006"
"SLAGTER HA","4","4","0.267","1309","4","2008"
"SMALLWOOD J","4","5","0.333","665","5","2011"
"SMITH LB","4","4","0.200","703","4","2003"
"SPELKE E","4","4","0.167","1563","4","1999"
"SPIERS HJ","4","4","0.250","135","4","2007"
"SQUIRE LR","4","4","0.190","292","4","2002"
"TANG YY","4","5","0.286","579","5","2009"
"TENENBAUM JB","4","5","0.235","981","5","2006"
"UDDIN LQ","4","4","0.250","568","4","2007"
"VANRULLEN R","4","4","0.200","926","4","2003"
"VOLKOW ND","4","4","0.286","1328","4","2009"
"WAGEMANS J","4","5","0.154","251","5","1997"
"XU Y","4","4","0.286","323","4","2009"
"ZAKI J","4","4","0.333","1208","4","2011"
"AHISSAR M","3","3","0.158","782","3","2004"
"ALTMANN GTM","3","3","0.120","124","3","1998"
"ALVAREZ GA","3","3","0.167","954","3","2005"
"ANSARI D","3","3","0.143","301","3","2002"
