"Terms","Frequency"
"cognitive","1262"
"brain","1065"
"recent","897"
"neural","744"
"memory","724"
"human","659"
"research","655"
"evidence","627"
"studies","619"
"visual","597"
"social","583"
"processing","554"
"information","550"
"learning","548"
"processes","530"
"review","478"
"mechanisms","468"
"models","461"
"language","421"
"perception","420"
"understanding","403"
"cognition","388"
"attention","379"
"cortex","358"
"activity","357"
"findings","356"
"system","352"
"systems","343"
"control","335"
"functional","330"
"role","324"
"suggest","321"
"study","311"
"representations","309"
"behavior","288"
"development","286"
"theory","282"
"propose","277"
"framework","274"
"argue","273"
"model","272"
"data","265"
"humans","264"
"function","263"
"sensory","257"
"knowledge","256"
"time","248"
"provide","247"
"perceptual","234"
"regions","234"
