"Node","Cluster","Betweenness","Closeness","PageRank"
"chater n","1","0","1","0.0625"
"christiansen mh","1","0","1","0.0625"
"friston kj","2","0","1","0.0625"
"dolan rj","2","0","1","0.0625"
"koch c","3","1","0.5","0.0912162162162162"
"block n","3","0","0.333333333333333","0.0352195945945946"
"tsuchiya n","3","0","0.333333333333333","0.0610641891891892"
"tomasello m","4","0","1","0.0625"
"call j","4","0","1","0.0625"
"cavanagh p","5","0","1","0.0625"
"cohen ma","5","0","1","0.0625"
"robbins tw","6","0","1","0.0625"
"poldrack ra","6","0","1","0.0625"
"engel ak","7","1","0.5","0.0912162162162162"
"singer w","7","0","0.333333333333333","0.0403885135135135"
"ullsperger m","7","0","0.333333333333333","0.0558952702702703"
