"Node","Cluster","Betweenness","Closeness","PageRank"
"usa","1","203.301294288451","0.0294117647058824","0.227338105785769"
"united kingdom","1","84.8763541504761","0.027027027027027","0.172057706349371"
"canada","1","7.06381406750927","0.0217391304347826","0.0606997454382902"
"australia","1","0.221461650207962","0.0204081632653061","0.0375144390681099"
"israel","1","0.0185485935526712","0.0188679245283019","0.0212602064788528"
"belgium","1","0.0385561688885596","0.02","0.0238418081418468"
"china","1","0.221389888270004","0.02","0.0190163150306635"
"spain","1","0.120219083656472","0.0204081632653061","0.0250152744608612"
"denmark","1","0.00658165364047717","0.0188679245283019","0.0175284107423055"
"sweden","1","0","0.0175438596491228","0.0112664570319608"
"ireland","1","0","0.0163934426229508","0.00822639953323987"
"finland","1","0","0.0163934426229508","0.00666865376541617"
"austria","1","0","0.0163934426229508","0.00605867240275057"
"hungary","1","0","0.0163934426229508","0.00848922860736735"
"singapore","1","0","0.0175438596491228","0.00775286439013171"
"brazil","1","0","0.0158730158730159","0.00545806028613059"
"portugal","1","0","0.0158730158730159","0.00545806028613059"
"south africa","1","0","0.0163934426229508","0.00636834770710618"
"poland","1","0","0.0151515151515152","0.00603993391065931"
"mexico","1","0","0.0158730158730159","0.00545806028613059"
"germany","2","55.6841425799483","0.024390243902439","0.089695788209722"
"netherlands","2","30.0624853032923","0.0227272727272727","0.0661542683759225"
"japan","2","0","0.0185185185185185","0.0143557497549492"
"norway","2","0","0.0188679245283019","0.0131413215043841"
"new zealand","2","0","0.0136986301369863","0.0054566341622494"
"chile","2","0","0.0149253731343284","0.00699222522599275"
"india","2","0","0.0166666666666667","0.00609076916561825"
"estonia","2","0","0.0142857142857143","0.00547141855690702"
"france","3","4.85219279418326","0.0212765957446809","0.0456758293572364"
"italy","3","0.51347239431494","0.0208333333333333","0.0418586984884151"
"switzerland","3","0.0194873836087169","0.0192307692307692","0.0235905474955097"
