"Terms","Frequency"
"brain","286"
"cognitive","263"
"memory","190"
"human","155"
"neural","146"
"cognition","143"
"perception","135"
"learning","130"
"social","128"
"language","127"
"visual","121"
"response","117"
"mind","97"
"cortex","87"
"attention","83"
"processing","76"
"control","72"
"consciousness","68"
"development","68"
"models","63"
"neuroscience","63"
"science","62"
"theory","61"
"action","58"
"role","57"
"reply","52"
"understanding","49"
"mechanisms","46"
"al","45"
"evolution","45"
"time","44"
"computational","43"
"emotion","43"
"function","42"
"perspective","41"
"networks","40"
"vol","40"
"behavior","39"
"pg","39"
"psychology","39"
"network","38"
"object","38"
"systems","38"
"comment","37"
"conscious","37"
"functional","37"
"perceptual","36"
"temporal","36"
"mental","35"
"recognition","35"
