"Terms","Frequency"
"cognitive","78"
"brain","77"
"cognition","49"
"memory","47"
"language","46"
"perception","46"
"neural","39"
"social","34"
"response","33"
"learning","32"
"attention","31"
"mind","27"
"human","26"
"development","25"
"processing","24"
"visual","24"
"al","23"
"theory","21"
"consciousness","20"
"control","20"
"cortex","19"
"models","19"
"neuroscience","19"
"emotion","17"
"comment","16"
"role","16"
"action","14"
"pg","14"
"vol","14"
"mechanisms","13"
"perceptual","13"
"reply","13"
"system","13"
"behavior","12"
"psychology","12"
"time","12"
"understanding","12"
"developmental","11"
"evolution","11"
"function","11"
"hypothesis","11"
"motor","11"
"processes","11"
"speech","11"
"cortical","10"
"mental","10"
"object","10"
"perspective","10"
"science","10"
"systems","10"
