"Terms","Frequency"
"brain","439"
"cognitive","357"
"recent","279"
"social","225"
"neural","208"
"memory","205"
"research","201"
"human","200"
"studies","188"
"evidence","170"
"processes","159"
"information","152"
"understanding","148"
"mechanisms","142"
"processing","135"
"review","133"
"models","132"
"visual","132"
"learning","131"
"activity","128"
"functional","124"
"cognition","119"
"findings","115"
"study","114"
"attention","111"
"cortex","111"
"behavior","108"
"control","105"
"role","102"
"systems","102"
"networks","99"
"function","98"
"propose","98"
"argue","97"
"language","97"
"network","95"
"perception","95"
"suggest","94"
"framework","92"
"regions","90"
"representations","87"
"humans","86"
"development","85"
"sensory","83"
"discuss","81"
"behavioral","75"
"system","75"
"account","72"
"model","71"
"effects","70"
