"Terms","Frequency"
"brain","70"
"cortex","68"
"prefrontal cortex","57"
"attention","53"
"memory","43"
"working-memory","43"
"decision-making","40"
"individual-differences","36"
"information","36"
"perception","35"
"functional connectivity","33"
"mechanisms","33"
"representation","31"
"evolution","29"
"children","28"
"organization","28"
"responses","27"
"human brain","25"
"model","24"
"behavior","23"
"short-term-memory","23"
"activation","22"
"visual-cortex","22"
"representations","21"
"language","20"
"neural","20"
"performance","19"
"connectivity","18"
"amygdala","17"
"cognition","16"
"cognitive control","16"
"medial temporal-lobe","16"
"neural basis","16"
"recognition","16"
"task","16"
"awareness","15"
"experience","15"
"fmri","14"
"mind","14"
"neural mechanisms","14"
"self","14"
"default network","13"
"networks","13"
"oscillations","13"
"speech","13"
"systems","13"
"metaanalysis","12"
"motor","12"
"parietal cortex","12"
"basal ganglia","11"
