"Terms","Frequency"
"cognitive","260"
"brain","187"
"social","170"
"neural","167"
"research","158"
"recent","155"
"human","151"
"memory","141"
"evidence","124"
"review","117"
"learning","112"
"processes","102"
"models","98"
"information","93"
"studies","92"
"mechanisms","85"
"processing","82"
"cognition","80"
"propose","80"
"representations","76"
"understanding","75"
"visual","75"
"findings","73"
"framework","73"
"perception","70"
"behavior","69"
"knowledge","64"
"activity","63"
"people","63"
"role","63"
"suggest","62"
"time","61"
"computational","60"
"discuss","60"
"function","60"
"control","59"
"argue","58"
"future","56"
"networks","55"
"model","54"
"provide","54"
"sensory","53"
"system","53"
"approach","51"
"humans","51"
"data","50"
"theories","50"
"attention","49"
"science","49"
"systems","49"
