"Description","Results"
"",""
"MAIN INFORMATION ABOUT DATA",""
"Timespan","1997:2022"
"Sources (Journals, Books, etc)","1"
"Documents","3036"
"Average years from publication","13"
"Average citations per documents","121.2"
"Average citations per year per doc","9.029"
"References","92644"
"",""
"DOCUMENT TYPES",""
"article","18"
"article; proceedings paper","6"
"biographical-item","4"
"book review","233"
"correction","39"
"editorial material","688"
"letter","331"
"news item","70"
"review","1647"
"",""
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","5446"
"Author's Keywords (DE)","585"
"",""
"AUTHORS",""
"Authors","4119"
"Author Appearances","6422"
"Authors of single-authored documents","842"
"Authors of multi-authored documents","3277"
"",""
"AUTHORS COLLABORATION",""
"Single-authored documents","1099"
"Documents per Author","0.737"
"Authors per Document","1.36"
"Co-Authors per Documents","2.12"
"Collaboration Index","1.69"
"",""
