"Paper","DOI","Total Citations","TC per Year","Normalized TC"
"BUSH G, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01483-2","4344","188.8696","14.20466"
"BADDELEY A, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01538-2","3486","151.5652","11.39904"
"HAXBY JV, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01482-0","3195","138.9130","10.44749"
"OCHSNER KN, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.03.010","2712","150.6667","12.97563"
"FRIES P, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.08.011","2466","137.0000","11.79864"
"BOTVINICK MM, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.10.003","2377","125.1053","11.02935"
"ARON AR, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.02.010","2097","110.3684","9.73014"
"MONSELL S, 2003, TRENDS COGN SCI","10.1016/S1364-6613(03)00028-7","2038","101.9000","11.66701"
"FISKE ST, 2007, TRENDS COGN SCI","10.1016/j.tics.2006.11.005","1990","124.3750","8.05141"
"ETKIN A, 2011, TRENDS COGN SCI","10.1016/j.tics.2010.11.004","1804","150.3333","7.93254"
"MENON V, 2011, TRENDS COGN SCI","10.1016/j.tics.2011.08.003","1759","146.5833","7.73467"
"GALLESE V, 1998, TRENDS COGN SCI","10.1016/S1364-6613(98)01262-5","1690","67.6000","13.95454"
"ALLISON T, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01501-1","1664","72.3478","5.44119"
"BUCKNER RL, 2007, TRENDS COGN SCI","10.1016/j.tics.2006.11.004","1661","103.8125","6.72030"
"GRILL-SPECTOR K, 2006, TRENDS COGN SCI","10.1016/j.tics.2005.11.006","1571","92.4118","7.97565"
"MAURER D, 2002, TRENDS COGN SCI","10.1016/S1364-6613(02)01903-4","1483","70.6190","14.61691"
"FEIGENSON L, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.05.002","1472","77.4737","6.83012"
"NORMAN KA, 2006, TRENDS COGN SCI","10.1016/j.tics.2006.07.005","1454","85.5294","7.38166"
"STEINBERG L, 2005, TRENDS COGN SCI","10.1016/j.tics.2004.12.005","1427","79.2778","6.82752"
"GALLAGHER S, 2000, TRENDS COGN SCI","10.1016/S1364-6613(99)01417-5","1413","61.4348","4.62044"
"GALLAGHER HL, 2003, TRENDS COGN SCI","10.1016/S1364-6613(02)00025-6","1412","70.6000","8.08333"
"KUTAS M, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01560-6","1398","60.7826","4.57139"
"TALLON-BAUDRY C, 1999, TRENDS COGN SCI","10.1016/S1364-6613(99)01299-1","1397","58.2083","10.75841"
"WOLPERT DM, 1998, TRENDS COGN SCI","10.1016/S1364-6613(98)01221-2","1388","55.5200","11.46089"
"VUILLEUMIER P, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.10.011","1361","75.6111","6.51174"
"SPORNS O, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.07.008","1361","71.6316","6.31508"
"KLIMESCH W, 2012, TRENDS COGN SCI","10.1016/j.tics.2012.10.007","1344","122.1818","8.76730"
"KLEIN RM, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01452-2","1288","56.0000","4.21169"
"BRESSLER SL, 2010, TRENDS COGN SCI","10.1016/j.tics.2010.04.004","1287","99.0000","7.44197"
"GALLESE V, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.07.002","1274","67.0526","5.91140"
"FRIEDERICI AD, 2002, TRENDS COGN SCI","10.1016/S1364-6613(00)01839-8","1257","59.8571","12.38938"
"LUTZ A, 2008, TRENDS COGN SCI","10.1016/j.tics.2008.01.005","1240","82.6667","7.67554"
"WALSH V, 2003, TRENDS COGN SCI","10.1016/j.tics.2003.09.002","1224","61.2000","7.00708"
"LAVIE N, 2005, TRENDS COGN SCI","10.1016/j.tics.2004.12.004","1221","67.8333","5.84191"
"CURTIS CE, 2003, TRENDS COGN SCI","10.1016/S1364-6613(03)00197-9","1220","61.0000","6.98418"
"POLDRACK RA, 2006, TRENDS COGN SCI","10.1016/j.tics.2005.12.004","1187","69.8235","6.02616"
"DEHAENE S, 2006, TRENDS COGN SCI","10.1016/j.tics.2006.03.007","1180","69.4118","5.99062"
"BARON-COHEN S, 2002, TRENDS COGN SCI","10.1016/S1364-6613(02)01904-6","1176","56.0000","11.59102"
"BRAVER TS, 2012, TRENDS COGN SCI","10.1016/j.tics.2011.12.010","1174","106.7273","7.65834"
"DAVIDSON RJ, 1999, TRENDS COGN SCI","10.1016/S1364-6613(98)01265-0","1148","47.8333","8.84084"
"DOSENBACH NUF, 2008, TRENDS COGN SCI","10.1016/j.tics.2008.01.001","1140","76.0000","7.05655"
"MATHER M, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.08.005","1103","61.2778","5.27733"
"ARON AR, 2014, TRENDS COGN SCI","10.1016/j.tics.2013.12.003","1098","122.0000","12.20785"
"WAGNER AD, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.07.001","1086","60.3333","5.19599"
"EVANS JST, 2003, TRENDS COGN SCI","10.1016/j.tics.2003.08.012","1071","53.5500","6.13119"
"CANOLTY RT, 2010, TRENDS COGN SCI","10.1016/j.tics.2010.09.001","1069","82.2308","6.18140"
"ERNST MO, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.02.002","1057","55.6316","4.90451"
"GREENE J, 2002, TRENDS COGN SCI","10.1016/S1364-6613(02)02011-9","1053","50.1429","10.37870"
"SEBANZ N, 2006, TRENDS COGN SCI","10.1016/j.tics.2005.12.009","1041","61.2353","5.28495"
"VAN DEN HEUVEL MP, 2013, TRENDS COGN SCI","10.1016/j.tics.2013.09.012","1036","103.6000","8.10789"
"BARTZ JA, 2011, TRENDS COGN SCI","10.1016/j.tics.2011.05.002","1025","85.4167","4.50713"
"ZATORRE RJ, 2002, TRENDS COGN SCI","10.1016/S1364-6613(00)01816-7","1020","48.5714","10.05344"
"MCCANDLISS BD, 2003, TRENDS COGN SCI","10.1016/S1364-6613(03)00134-7","1006","50.3000","5.75908"
"BINDER JR, 2011, TRENDS COGN SCI","10.1016/j.tics.2011.10.001","977","81.4167","4.29606"
"NORTHOFF G, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.01.004","971","51.1053","4.50547"
"HOFMANN W, 2012, TRENDS COGN SCI","10.1016/j.tics.2012.01.006","969","88.0909","6.32107"
"CHEVALLIER C, 2012, TRENDS COGN SCI","10.1016/j.tics.2012.02.007","956","86.9091","6.23627"
"MAKEIG S, 2004, TRENDS COGN SCI","10.1016/j.tics.2004.03.008","946","49.7895","4.38947"
"CAVANAGH JF, 2014, TRENDS COGN SCI","10.1016/j.tics.2014.04.012","942","104.6667","10.47340"
"DESMURGET M, 2000, TRENDS COGN SCI","10.1016/S1364-6613(00)01537-0","933","40.5652","3.05086"
"CSIBRA G, 2009, TRENDS COGN SCI","10.1016/j.tics.2009.01.005","902","64.4286","5.12715"
"DE VIGNEMONT F, 2006, TRENDS COGN SCI","10.1016/j.tics.2006.08.008","901","53.0000","4.57419"
"CASEY BJ, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.01.011","900","50.0000","4.30607"
"KLINGBERG T, 2010, TRENDS COGN SCI","10.1016/j.tics.2010.05.002","896","68.9231","5.18104"
"DUNCAN J, 2010, TRENDS COGN SCI","10.1016/j.tics.2010.01.004","889","68.3846","5.14057"
"HAGOORT P, 2005, TRENDS COGN SCI","10.1016/j.tics.2005.07.004","882","49.0000","4.21995"
"GHAZANFAR AA, 2006, TRENDS COGN SCI","10.1016/j.tics.2006.04.008","880","51.7647","4.46758"
"ENGEL AK, 2001, TRENDS COGN SCI","10.1016/S1364-6613(00)01568-0","879","39.9545","13.07973"
"HENDERSON JM, 2003, TRENDS COGN SCI","10.1016/j.tics.2003.09.006","859","42.9500","4.91755"
"RUGG MD, 2007, TRENDS COGN SCI","10.1016/j.tics.2007.04.004","833","52.0625","3.37026"
"PAUS T, 2005, TRENDS COGN SCI","10.1016/j.tics.2004.12.008","820","45.5556","3.92331"
