"Affiliations","Articles"
"HARVARD UNIV","274"
"UNIV OXFORD","214"
"YALE UNIV","155"
"UNIV CAMBRIDGE","152"
"PRINCETON UNIV","151"
"UNIV PENN","142"
"STANFORD UNIV","132"
"UNIV CALIF BERKELEY","116"
"DUKE UNIV","114"
"UNIV CALIF LOS ANGELES","111"
"WASHINGTON UNIV","105"
"UNIV TORONTO","102"
"INST COGNIT NEUROSCI","94"
"UNIV CALIF SAN DIEGO","90"
"CARNEGIE MELLON UNIV","88"
"UNIV AMSTERDAM","79"
"RADBOUD UNIV NIJMEGEN","76"
"NORTHWESTERN UNIV","75"
"RUTGERS STATE UNIV","68"
"DEPT BRAIN AND COGNIT SCI","67"
"UNIV ARIZONA","63"
"UNIV CALIF DAVIS","63"
"COLUMBIA UNIV","61"
"UNIV SUSSEX","59"
"MCGILL UNIV","58"
"UNIV BRITISH COLUMBIA","58"
"UNIV CHICAGO","58"
"INDIANA UNIV","57"
"JOHNS HOPKINS UNIV","54"
"MAX PLANCK INST HUMAN COGNIT AND BRAIN SCI","54"
"CORNELL UNIV","51"
"CALTECH","50"
"INST NEUROL","50"
"BROWN UNIV","49"
"UNIV MICHIGAN","49"
"UNIV WARWICK","49"
"UNIV WISCONSIN","49"
"DARTMOUTH COLL","48"
"UNIV PITTSBURGH","48"
"EMORY UNIV","47"
"UNIV WESTERN ONTARIO","47"
"UNIV EDINBURGH","45"
"UNIV YORK","45"
"UNIV GLASGOW","44"
"UNIV ILLINOIS","41"
"UNIV MARYLAND","41"
"UNIV QUEENSLAND","41"
"UNIV UTRECHT","41"
"VANDERBILT UNIV","41"
"COGNIT AND BRAIN SCI UNIT","40"
"BOSTON UNIV","39"
"MAX PLANCK INST HUMAN DEV","37"
"UNIV LONDON","37"
"UNIV CALIF IRVINE","36"
"UNIV OREGON","36"
"CTR NEURAL SCI","35"
"KINGS COLL LONDON","35"
"UNIV BRISTOL","35"
"UNIV ST ANDREWS","35"
"FRANCE.","34"
"HEBREW UNIV JERUSALEM","34"
"UNIV WASHINGTON","34"
"OHIO STATE UNIV","33"
"TEL AVIV UNIV","33"
"VRIJE UNIV AMSTERDAM","33"
"UNIV BIRMINGHAM","32"
"CARDIFF UNIV","31"
"UNIV LONDON BIRKBECK COLL","31"
"UNIV MELBOURNE","31"
"UNIV SO CALIF","31"
"AARHUS UNIV","30"
"HUMBOLDT UNIV","30"
"UNIV COLORADO","30"
"WELLCOME TRUST CTR NEUROIMAGING","29"
"MAX PLANCK INST EVOLUTIONARY ANTHROPOL","28"
"UNIV CALIF SANTA BARBARA","28"
"UNIV MINNESOTA","28"
"UNIV ZURICH","28"
"FREE UNIV BERLIN","27"
"UNIV MONTREAL","27"
"UNIV SYDNEY","26"
"MONASH UNIV","25"
"UNIV VIRGINIA","25"
"YORK UNIV","25"
"MAX PLANCK INST PSYCHOLINGUIST","24"
"ROTMAN RES INST","24"
"TECH UNIV MUNICH","24"
"UNIV CALIF SAN FRANCISCO","24"
"UNIV PARMA","24"
"KATHOLIEKE UNIV LEUVEN","23"
"LAB BRAIN AND COGNIT","23"
"LEIDEN UNIV","23"
"MASSACHUSETTS GEN HOSP","23"
"UNIV TUBINGEN","23"
"NETHERLANDS INST NEUROSCI","22"
"UNIV AUCKLAND","22"
"UNIV IOWA","22"
"UNIV ROCHESTER","22"
"UNIV TEXAS AUSTIN","22"
"UNIV DURHAM","21"
"UNIV LONDON IMPERIAL COLL SCI TECHNOL AND MED","21"
"UNIV MANCHESTER","21"
"UNIV SOUTHAMPTON","21"
"MACQUARIE UNIV","20"
"PENN STATE UNIV","20"
"UNIV GENEVA","20"
"UNIV LIEGE","20"
"BAYLOR COLL MED","19"
"COLL FRANCE","19"
"NORTHEASTERN UNIV","19"
"TUFTS UNIV","19"
"UNIV SHEFFIELD","19"
"UNIV TRENTO","19"
"CNRS","18"
"ECOLE NORMALE SUPER","18"
"MAX PLANCK INST BIOL CYBERNET","18"
"MCGOVERN INST BRAIN RES","18"
"UNIV BASEL","18"
"UNIV TEXAS","18"
"BEIJING NORMAL UNIV","17"
"HARVARD MED SCH","17"
"UNIV GHENT","17"
"UNIV GRONINGEN","17"
"UNIV STIRLING","17"
"UNIV WALES","17"
"UNIV WATERLOO","17"
"AIX MARSEILLE UNIV","16"
"BRANDEIS UNIV","16"
"MICHIGAN STATE UNIV","16"
"TEMPLE UNIV","16"
"N (CORRESPONDING AUTHOR)","15"
"NATHAN S KLINE INST PSYCHIAT RES","15"
"RUHR UNIV BOCHUM","15"
"SALK INST BIOL STUDIES","15"
"UNIV CALIF SANTA CRUZ","15"
"UNIV HELSINKI","15"
"UNIV MED CTR HAMBURG EPPENDORF","15"
"UNIV MIAMI","15"
"UNIV NEW S WALES","15"
"UNIV POMPEU FABRA","15"
"WEIZMANN INST SCI","15"
"DIV HUMANITIES AND SOCIAL SCI","14"
"FLORIDA ATLANTIC UNIV","14"
"GEORGETOWN UNIV","14"
"INST PSYCHOL","14"
"KAROLINSKA INST","14"
"MCMASTER UNIV","14"
"SALZBURG UNIV","14"
"UNIV OSLO","14"
"UNIV WESTERN AUSTRALIA","14"
"BOSTON COLL","13"
"SCHILLER","13"
"UMEA UNIV","13"
"UNIV DUBLIN TRINITY COLL","13"
"UNIV EXETER","13"
"UNIV MAGDEBURG","13"
"UNIV MASSACHUSETTS","13"
"UNIV N CAROLINA","13"
"UNIV NOTTINGHAM","13"
"DEPT NEUROSCI PHYSIOL AND PHARMACOL","12"
"INST JEAN NICOD","12"
"MAX PLANCK INST BRAIN RES","12"
"OPEN UNIV","12"
"SCHURGER","12"
"UNIV LEICESTER","12"
"UNIV TEXAS DALLAS","12"
"UNIV TRIESTE","12"
"CITY UNIV LONDON","11"
"GATSBY COMPUTAT NEUROSCI UNIT","11"
"INST BEHAV NEUROSCI","11"
"INST CHILD HLTH","11"
"INST NEUROSCI","11"
"PARIS","11"
"UNIV ABERDEEN","11"
"UNIV HAMBURG","11"
"UNIV OTTAWA","11"
"WELLCOME CTR HUMAN NEUROIMAGING","11"
"AARHUS UNIV HOSP","10"
"ATHINOULA A MARTINOS CTR BIOMED IMAGING","10"
"CEDARS SINAI MED CTR","10"
"HASKINS LABS INC","10"
"INST PSYCHIAT","10"
"JOHANNES GUTENBERG UNIV MAINZ","10"
"NEUROSCI INST","10"
"NEWCASTLE UNIV","10"
"OREGON HLTH AND SCI UNIV","10"
"QUEEN MARY UNIV LONDON","10"
"S (CORRESPONDING AUTHOR)","10"
"SIMON FRASER UNIV","10"
"UNIV BARCELONA","10"
"UNIV FLORENCE","10"
"UNIV HLTH NETWORK","10"
"UNIV MISSOURI","10"
"UNIV NEW MEXICO","10"
"UNIV POTSDAM","10"
"UNIV UTAH","10"
"BAR ILAN UNIV","9"
"BASQUE CTR COGNIT BRAIN AND LANGUAGE","9"
"BEN GURION UNIV NEGEV","9"
"ERASMUS UNIV","9"
"LAB SCI COGNIT AND PSYCHOLINGUIST","9"
"NEUROPSYCHOL LAB","9"
"SENSORIMOTOR RES LAB","9"
