"Authors","Articles","Articles Fractionalized"
"CHATER N","22","9.10"
"DEHAENE S","17","6.92"
"BLOOM P","13","9.50"
"FRISTON KJ","13","7.70"
"CHRISTIANSEN MH","12","4.63"
"FRITH CD","11","3.90"
"KOCH C","11","4.73"
"MCCLELLAND JL","11","4.28"
"TOMASELLO M","11","5.87"
"BEHRMANN M","10","4.75"
"BLOCK N","10","8.48"
"CAVANAGH P","10","3.25"
"CORBALLIS MC","10","10.00"
"FRIEDERICI AD","10","7.83"
"ROBBINS TW","10","3.32"
"SCHACTER DL","10","3.10"
"SUDDENDORF T","10","5.08"
"WALSH V","10","5.58"
"ENGEL AK","9","2.58"
"JOHNSON-LAIRD PN","9","5.17"
"MARCUS GF","9","8.00"
"MOSCOVITCH M","9","3.33"
"CALL J","8","4.03"
"COHEN MA","8","3.67"
"DOLAN RJ","8","3.12"
"GALLESE V","8","3.83"
"KEYSERS C","8","3.23"
"MOBBS D","8","3.58"
"MORRISON I","8","8.00"
"NORTHOFF G","8","5.45"
"OWEN AM","8","4.25"
"POSNER MI","8","3.92"
"SINGER W","8","3.15"
"BARRETT L","7","6.33"
"BASSETT DS","7","2.81"
"GALLAGHER S","7","4.50"
"GELMAN SA","7","4.08"
"HAUSER MD","7","3.67"
"HEYES C","7","4.53"
"LAMME VAF","7","4.23"
"MARTIN A","7","3.23"
"OCHSNER KN","7","2.92"
"PALLER KA","7","3.00"
"POLDRACK RA","7","2.89"
"SAXE R","7","5.83"
"SCOTT SK","7","4.75"
"TSUCHIYA N","7","2.83"
"ULLSPERGER M","7","2.25"
"ADOLPHS R","6","4.00"
"BAR M","6","4.00"
"BARRETT LF","6","2.28"
"BLAKEMORE SJ","6","2.67"
"BOLHUIS JJ","6","2.84"
"CARAMAZZA A","6","2.83"
"CLAYTON NS","6","2.92"
"CLEEREMANS A","6","1.62"
"CROCKETT MJ","6","2.89"
"DAYAN P","6","2.33"
"DE GELDER B","6","2.75"
"DI LOLLO V","6","4.50"
"ELLIS HD","6","3.08"
"GALLISTEL CR","6","4.83"
"GAUTHIER I","6","2.67"
"GHAZANFAR AA","6","3.20"
"HASSON U","6","2.20"
"JOHNSON MH","6","3.50"
"KRINGELBACH ML","6","1.90"
"LAU H","6","2.37"
"LEWIS PA","6","3.83"
"MAGUIRE EA","6","3.50"
"NADEL L","6","2.42"
"NIEDER A","6","4.33"
"OAKSFORD M","6","4.50"
"PALMER-BROWN D","6","2.67"
"PLAUT DC","6","2.58"
"PLONER M","6","2.50"
"RANGANATH C","6","2.67"
"REES G","6","3.33"
"ROELFSEMA PR","6","2.53"
"SEIDENBERG MS","6","4.00"
"SETH AK","6","4.03"
"TENENBAUM JB","6","1.59"
"TYLER LK","6","3.00"
"WEXLER M","6","2.83"
"YOUNG AW","6","2.42"
"BAKER CI","5","2.17"
"BARCH DM","5","2.34"
"BROWN GDA","5","1.42"
"BUCKNER RL","5","2.08"
"BURGESS N","5","3.00"
"BURR D","5","2.33"
"CABEZA R","5","1.83"
"CHRISTOFF K","5","1.83"
"CIKARA M","5","1.67"
"CLARK A","5","3.08"
"CLIFFORD CWG","5","2.42"
"CSIBRA G","5","3.00"
"DAVIDSON RJ","5","1.75"
"DEARY IJ","5","3.70"
"DEBENER S","5","1.33"
"DRIVER J","5","1.32"
"EDELMAN S","5","3.17"
"EGNER T","5","2.48"
"FRENCH RM","5","4.00"
"GRAINGER J","5","2.17"
"GRIFFITHS TL","5","2.20"
"GRILL-SPECTOR K","5","2.67"
"GROSS J","5","1.83"
"GROSS JJ","5","2.33"
"HAPPE F","5","3.40"
"HUSAIN M","5","2.20"
"IANNETTI GD","5","2.25"
"INZLICHT M","5","1.67"
"IVRY RB","5","1.83"
"JACOB P","5","2.17"
"JENSEN O","5","2.58"
"KASTNER S","5","2.33"
"KOUSTA S","5","3.83"
"LYDDY F","5","5.00"
"MAJID A","5","4.20"
"MONTAGUE PR","5","3.00"
"MUNAKATA Y","5","2.50"
"NIV Y","5","1.75"
"OGILVIE J","5","5.00"
"OVERGAARD M","5","2.20"
"PASCUAL-LEONE A","5","2.42"
"PESSOA L","5","3.70"
"PICKERING MJ","5","2.50"
"PRICE CJ","5","3.00"
"ROEPSTORFF A","5","2.00"
"ROLFS M","5","1.58"
"RUGG MD","5","2.25"
"SANTOS LR","5","2.50"
"SCHOOLER JW","5","2.47"
"SIRIGU A","5","1.73"
"SMALLWOOD J","5","0.97"
"SPORNS O","5","1.75"
"SUMMERFIELD C","5","2.50"
"TANG YY","5","2.08"
"THOMPSON E","5","3.00"
"TITONE D","5","5.00"
"UDDIN LQ","5","3.75"
"VERGUTS T","5","2.33"
"WAGEMANS J","5","2.23"
"WAGNER L","5","4.50"
"WAXMAN SR","5","2.83"
"WOLPERT DM","5","2.50"
"ANDERSON MC","4","2.00"
"ARON AR","4","1.92"
"BAARS BJ","4","3.00"
"BADRE D","4","2.25"
"BAILLARGEON R","4","1.83"
"BARGH JA","4","1.70"
"BELIN P","4","1.67"
"BERWICK RC","4","1.01"
"BESTMANN S","4","1.73"
"BRANNON EM","4","2.33"
"BRASS M","4","1.42"
"BURTON AM","4","1.67"
"BYRNE RMJ","4","2.50"
"CAMERER CF","4","3.00"
"CHUN MM","4","2.70"
"COHEN JD","4","1.58"
"COHEN L","4","1.58"
"COLTHEART M","4","2.17"
"CULHAM J","4","4.00"
"D'ESPOSITO M","4","1.67"
"DECETY J","4","2.00"
"DENNETT DC","4","1.67"
"DUNBAR RIM","4","2.64"
"EICHENBAUM H","4","3.50"
"ENNS JT","4","2.00"
"FARAH MJ","4","3.00"
"FEDORENKO E","4","1.75"
"FEHR E","4","1.67"
"FERREIRA F","4","2.33"
"FIRESTONE C","4","2.00"
"FITCH WT","4","2.67"
