"Cluster","authors","ClusterFrequency","NormalizedLocalCitationScore"
"1","KEMP C","237","4.98"
"1","TREMOULET PD","237","2.85"
"1","ULLMAN MT","237","2.57"
"1","GERGELY G","237","2.48"
"1","TENENBAUM JB","237","2.46"
"1","LESLIE AM","237","2.41"
"1","SCOTT RM","237","2.39"
"1","GRIFFITHS TL","237","2.35"
"1","FISER J","237","2.29"
"1","XU F","237","2.28"
"1","YUILLE A","237","2.19"
"1","LEGARE CH","237","2.15"
"1","LALAND KN","237","2.13"
"1","RENDELL L","237","2.13"
"1","KERSTEN D","237","2.03"
"1","PINKER S","237","1.96"
"1","NIELSEN M","237","1.96"
"1","CALL J","237","1.94"
"1","PERNER J","237","1.93"
"1","POVINELLI DJ","237","1.92"
"1","FRITH C","237","1.82"
"1","MACPHAIL EM","237","1.82"
"1","MARTIN A","237","1.78"
"1","TOMASELLO M","237","1.74"
"1","CLARK A","237","1.72"
"1","HORSCHLER DJ","237","1.72"
"1","MACLEAN EL","237","1.72"
"1","BAILLARGEON R","237","1.71"
"1","CSIBRA G","237","1.7"
"1","SCHOLL BJ","237","1.65"
"1","SANBORN AN","237","1.63"
"1","HARE B","237","1.62"
"1","MAJID A","237","1.59"
"1","FRIEDMAN O","237","1.57"
"1","CHRISTIANSEN MH","237","1.52"
"1","SANTOS LR","237","1.46"
"1","GOLDBERG AE","237","1.45"
"1","REDSHAW J","237","1.44"
"1","GOODMAN ND","237","1.41"
"1","LI P","237","1.36"
"1","JARA-ETTINGER J","237","1.35"
"1","SCHULZ JB","237","1.35"
"1","HUMPHREYS GW","237","1.34"
"1","CHATER N","237","1.33"
"1","BUSBY J","237","1.33"
"1","BERGEN L","237","1.32"
"1","FUTRELL R","237","1.32"
"1","LEVY R","237","1.32"
"1","MAHOWALD K","237","1.32"
"1","MIRMAN D","237","1.27"
"1","VAN BAVEL JJ","237","1.26"
"1","CAMERON CD","237","1.26"
"1","SPRING VL","237","1.26"
"1","EREV I","237","1.25"
"1","JOANISSE MF","237","1.25"
"1","MUNAKATA Y","237","1.24"
"1","DICKINSON A","237","1.24"
"1","HAUN DBM","237","1.24"
"1","RAAFAT RM","237","1.21"
"1","FEENEY MC","237","1.18"
"1","ROBERTS WA","237","1.18"
"1","DE FREITAS J","237","1.17"
"1","GROSSMANN I","237","1.17"
"1","NOWAK MA","237","1.17"
"1","SCHLEGEL R","237","1.17"
"1","CIKARA M","237","1.15"
"1","ELMAN JL","237","1.14"
"1","FRANK MC","237","1.14"
"1","CHOMSKY N","237","1.14"
"1","EVERAERT MBH","237","1.14"
"1","HUYBREGTS MAC","237","1.14"
"1","CHEVALLIER C","237","1.13"
"1","NUSBAUM HC","237","1.13"
"1","STEELS L","237","1.13"
"1","KIRBY S","237","1.12"
"1","SUDDENDORF T","237","1.11"
"1","BOLHUIS JJ","237","1.11"
"1","GWEON H","237","1.11"
"1","PENNYCOOK G","237","1.1"
"1","SMITH JE","237","1.09"
"1","VAN VUGT M","237","1.09"
"1","LEVINSON SC","237","1.08"
"1","GIBSON E","237","1.06"
"1","RAND DG","237","1.05"
"1","OAKSFORD M","237","1.04"
"1","LOMBROZO T","237","1.04"
"1","BARRETT L","237","1.03"
"1","DOUVEN I","237","1.02"
"1","WANG SH","237","1.02"
"1","BUTLER DL","237","1"
"1","BYRNE RMJ","237","0.99"
"1","ENGELMANN JM","237","0.99"
"1","HERTWIG R","237","0.98"
"1","LASNIK H","237","0.98"
"1","MOREWEDGE CK","237","0.98"
"1","BOYER P","237","0.97"
"1","WARNEKEN F","237","0.96"
"1","DICKE U","237","0.96"
"1","ROTH G","237","0.96"
"1","SLOUTSKY VM","237","0.96"
"1","FISHER SE","237","0.94"
"1","MORO A","237","0.93"
"1","CRIVELLI C","237","0.93"
"1","STARMANS C","237","0.93"
"1","VASISHTH S","237","0.91"
"1","SHETTLEWORTH SJ","237","0.91"
"1","BULLER DJ","237","0.9"
"1","MARKMAN AB","237","0.9"
"1","WHEATLEY T","237","0.9"
"1","MARESCHAL D","237","0.88"
"1","BEYRET B","237","0.88"
"1","CHEKE L","237","0.88"
"1","CROSBY M","237","0.88"
"1","MESOUDI A","237","0.88"
"1","SHANAHAN M","237","0.88"
"1","KAHNEMAN D","237","0.86"
"1","SUN Z","237","0.86"
"1","SZOLLOSI A","237","0.86"
"1","EPLEY N","237","0.85"
"1","KHEMLANI SS","237","0.85"
"1","BLOOM P","237","0.84"
"1","LUPYAN G","237","0.84"
"1","GANTMAN AP","237","0.84"
"1","MARCUS GF","237","0.83"
"1","QUINN PC","237","0.83"
"1","PARKINSON C","237","0.81"
