"Cluster","authors","ClusterFrequency","NormalizedLocalCitationScore"
"1","ARMSTRONG BC","17","3.16"
"1","FROST R","17","3.16"
"1","KOK P","17","3.12"
"1","DE LANGE FP","17","2.89"
"1","TENENBAUM JB","17","2.46"
"1","GRIFFITHS TL","17","2.35"
"1","FISER J","17","2.29"
"1","CLARK A","17","1.72"
"1","CHRISTIANSEN MH","17","1.52"
"1","CHATER N","17","1.33"
"1","PICKERING MJ","17","1.24"
"1","LEVINSON SC","17","1.08"
"1","LUPYAN G","17","0.84"
"1","GOLDSTONE RL","17","0.79"
"1","BORODITSKY L","17","0.67"
"1","EDELMAN S","17","0.64"
"1","SCHYNS PG","17","0.6"
"2","LAMME VAF","31","3.23"
"2","DEHAENE S","31","2.35"
"2","ALVAREZ GA","31","2.18"
"2","ACHOUI D","31","2.17"
"2","BEAUNY A","31","2.17"
"2","DE HEERING A","31","2.17"
"2","KEUNINCKX L","31","2.17"
"2","MARTIN JR","31","2.17"
"2","MUNOZ-MOLDES S","31","2.17"
"2","VUILLAUME L","31","2.17"
"2","TSAKIRIS M","31","2.06"
"2","SETH AK","31","2.04"
"2","TSUCHIYA N","31","1.87"
"2","FAIVRE N","31","1.75"
"2","MUDRIK L","31","1.75"
"2","DUPOUX E","31","1.66"
"2","LAU H","31","1.65"
"2","CLEEREMANS A","31","1.64"
"2","KOCH C","31","1.58"
"2","BLOCK N","31","1.54"
"2","CAVANAGH P","31","1.53"
"2","COHEN MA","31","1.49"
"2","BAR M","31","1.47"
"2","PESSOA L","31","1.33"
"2","SOTO D","31","1.25"
"2","HE BJ","31","1.01"
"2","KANWISHER N","31","0.91"
"2","DE HAAN EHF","31","0.71"
"2","KLEINSCHMIDT A","31","0.67"
"2","REES G","31","0.56"
"2","MAIA TV","31","0.41"
"3","BOTVINICK MM","48","4.09"
"3","POLDRACK RA","48","2.97"
"3","BADRE D","48","2.83"
"3","LEVY I","48","2.56"
"3","VANDUFFEL W","48","2.51"
"3","ORBAN GA","48","2.33"
"3","DUNCAN J","48","2.24"
"3","SUMMERFIELD C","48","2.16"
"3","COHEN JD","48","2.11"
"3","RUSHWORTH MFS","48","2.1"
"3","GILBERT SJ","48","2.06"
"3","FRANK MJ","48","1.93"
"3","EGNER T","48","1.79"
"3","FRISTON KJ","48","1.74"
"3","ZACKS JM","48","1.73"
"3","KOECHLIN E","48","1.6"
"3","HOMMEL B","48","1.57"
"3","ANDERSON MC","48","1.39"
"3","ROBBINS TW","48","1.38"
"3","DAYAN P","48","1.38"
"3","BRAVER TS","48","1.37"
"3","SCHILLER D","48","1.34"
"3","AMODIO DM","48","1.32"
"3","PRICE CJ","48","1.31"
"3","DOLAN RJ","48","1.27"
"3","NIEDER A","48","1.19"
"3","MONTAGUE PR","48","1.16"
"3","LOEWENSTEIN G","48","1.07"
"3","NIV Y","48","1.02"
"3","PAULUS MP","48","1.02"
"3","IVRY RB","48","1.01"
"3","WISE SP","48","0.99"
"3","BOGACZ R","48","0.99"
"3","GENOVESIO A","48","0.97"
"3","HAMPSHIRE A","48","0.95"
"3","BARCH DM","48","0.93"
"3","PASSINGHAM RE","48","0.89"
"3","SANFEY AG","48","0.83"
"3","OWEN AM","48","0.81"
"3","DRIVER J","48","0.81"
"3","PLATT ML","48","0.77"
"3","MECK WH","48","0.76"
"3","HUSAIN M","48","0.7"
"3","VERGUTS T","48","0.7"
"3","QUARTZ SR","48","0.61"
"3","SIRIGU A","48","0.57"
"3","HIKOSAKA O","48","0.51"
"3","KADOSH RC","48","0.47"
"4","PUCE A","34","5.06"
"4","HAXBY JV","34","3.9"
"4","BANG D","34","3.4"
"4","GOLDMAN A","34","2.7"
"4","SHEA N","34","2.7"
"4","GALLESE V","34","2.5"
"4","KEYSERS C","34","2.44"
"4","WAGER TD","34","2.44"
"4","LESLIE AM","34","2.41"
"4","HASSON U","34","2.38"
"4","FRITH CD","34","2.18"
"4","MALACH R","34","1.9"
"4","FINK GR","34","1.89"
"4","ADOLPHS R","34","1.84"
"4","OCHSNER KN","34","1.82"
"4","DECETY J","34","1.81"
"4","GHAZANFAR AA","34","1.72"
"4","GAZZOLA V","34","1.63"
"4","BARGH JA","34","1.59"
"4","BLAKEMORE SJ","34","1.57"
"4","HEYES C","34","1.51"
"4","SINGER T","34","1.36"
"4","CUNNINGHAM WA","34","1.22"
"4","SPENCE C","34","1.01"
"4","NORTHOFF G","34","0.99"
"4","ROEPSTORFF A","34","0.98"
"4","UDDIN LQ","34","0.94"
"4","FRITH U","34","0.94"
"4","KNOBLICH G","34","0.93"
"4","SAXE R","34","0.92"
"4","PASCUAL-LEONE A","34","0.75"
"4","DOWNING PE","34","0.72"
"4","HAN S","34","0.57"
"4","HAUSER MD","34","0.51"
"5","POLYN SM","34","4.15"
"5","HASSABIS D","34","3.19"
"5","KUMARAN D","34","2.56"
"5","NORMAN KA","34","2.48"
"5","PENNARTZ CMA","34","2.09"
"5","MURRAY EA","34","1.99"
"5","BUZSAKI G","34","1.93"
"5","RENOULT L","34","1.93"
"5","O'REILLY RC","34","1.92"
"5","PEZZULO G","34","1.85"
"5","SHOHAMY D","34","1.84"
"5","DOELLER CF","34","1.84"
"5","QUIROGA RQ","34","1.77"
"5","MCCLELLAND JL","34","1.76"
"5","FRISTON K","34","1.65"
"5","CIARAMELLI E","34","1.65"
"5","RUGG MD","34","1.59"
"5","MAGUIRE EA","34","1.58"
"5","WANG J","34","1.52"
"5","HILLS TT","34","1.46"
"5","CABEZA R","34","1.32"
"5","MOSCOVITCH M","34","1.26"
"5","MUNAKATA Y","34","1.24"
"5","RANGANATH C","34","1.21"
"5","SUDDENDORF T","34","1.11"
"5","KAHANA MJ","34","1.1"
"5","BOYER P","34","0.97"
"5","NADEL L","34","0.94"
"5","TURK-BROWNE NB","34","0.79"
"5","JOHNSON MH","34","0.78"
"5","CORBALLIS MC","34","0.75"
"5","SPIERS HJ","34","0.74"
"5","NEWCOMBE NS","34","0.62"
"5","HUETTEL SA","34","0.5"
"8","BUCKNER RL","38","3.24"
"8","BRESSLER SL","38","3.01"
"8","SPORNS O","38","2.85"
"8","MENON V","38","2.63"
"8","KNIGHT RT","38","2.32"
"8","CORLETT PR","38","2.17"
"8","SCHOOLER JW","38","2.05"
"8","BARRETT LF","38","1.6"
"8","LINDQUIST KA","38","1.6"
"8","POSNER MI","38","1.58"
"8","THOMPSON-SCHILL SL","38","1.52"
"8","KELSO JAS","38","1.45"
"8","BARBEY AK","38","1.43"
"8","KRIENEN FM","38","1.32"
"8","LUTZ A","38","1.32"
"8","TONONI G","38","1.26"
"8","SMALLWOOD J","38","1.23"
"8","MATTINGLEY JB","38","1.19"
"8","DAVIDSON RJ","38","1.11"
"8","SCHACTER DL","38","1.1"
"8","BASSETT DS","38","1.07"
"8","FEDORENKO E","38","1.06"
"8","FORSTMANN BU","38","1.06"
"8","FORNITO A","38","1.03"
"8","TANG YY","38","0.98"
"8","KRINGELBACH ML","38","0.93"
"8","REICHLE ED","38","0.92"
"8","ROTHBART MK","38","0.89"
"8","MOBBS D","38","0.87"
"8","CHRISTOFF K","38","0.86"
"8","COSMELLI D","38","0.86"
"8","LEGRAND E","38","0.86"
"8","CHUN MM","38","0.78"
"8","FINN ES","38","0.74"
"8","PARVIZI J","38","0.71"
"8","MITTNER M","38","0.7"
"8","GRAFMAN J","38","0.59"
"8","MCINTOSH AR","38","0.51"
"9","CURTIS CE","24","4.16"
"9","D'ESPOSITO M","24","3.57"
"9","AWH E","24","3.52"
"9","KLINK PC","24","2.9"
"9","STOKES MG","24","2.84"
"9","HAYNES JD","24","2.17"
"9","ROELFSEMA PR","24","1.84"
"9","LUCK SJ","24","1.72"
"9","KASTNER S","24","1.46"
"9","FECTEAU JH","24","1.45"
"9","NOBRE AC","24","1.44"
"9","SERENCES JT","24","1.36"
"9","HUMPHREYS GW","24","1.34"
"9","MOORE T","24","1.34"
"9","PETERS J","24","1.2"
"9","HENDERSON JM","24","1.17"
"9","OLIVERS CNL","24","1.1"
"9","SLAGTER HA","24","1.07"
"9","WANG L","24","1.04"
"9","WATANABE T","24","0.96"
"9","PEELEN MV","24","0.63"
"9","XU Y","24","0.55"
"9","SNYDER LH","24","0.5"
"9","BUECHEL C","24","0.44"
