"Cluster","documents","ClusterFrequency","NormalizedLocalCitationScore"
"1","SIMONS DJ, 1997, TRENDS COGN SCI","453","11.29"
"1","FRIES P, 2005, TRENDS COGN SCI","453","8.48"
"1","LAMME VAF, 2003, TRENDS COGN SCI","453","7.2"
"1","ENGEL AK, 2001, TRENDS COGN SCI","453","6.83"
"1","SHAPIRO KL, 1997, TRENDS COGN SCI","453","6.78"
"1","CANOLTY RT, 2010, TRENDS COGN SCI","453","6.3"
"1","STOKES MG, 2015, TRENDS COGN SCI","453","6.24"
"1","TSUCHIYA N, 2015, TRENDS COGN SCI","453","6.24"
"1","LAMME VAF, 2006, TRENDS COGN SCI","453","6.19"
"1","AHISSAR M, 2004, TRENDS COGN SCI","453","6.03"
"1","SHEA N, 2014, TRENDS COGN SCI","453","5.93"
"1","DEHAENE S, 2006, TRENDS COGN SCI","453","5.83"
"1","SREENIVASAN KK, 2014, TRENDS COGN SCI","453","5.34"
"1","CHRISTOPHEL TB, 2017, TRENDS COGN SCI","453","5.19"
"1","LUCK SJ, 2013, TRENDS COGN SCI","453","5.13"
"1","BLOCK N, 2005, TRENDS COGN SCI","453","5.01"
"1","LAU H, 2011, TRENDS COGN SCI","453","4.81"
"1","COHEN MA, 2011, TRENDS COGN SCI","453","4.81"
"1","BROWN R, 2019, TRENDS COGN SCI","453","4.62"
"1","KOCH C, 2007, TRENDS COGN SCI","453","4.6"
"1","LEOPOLD DA, 1999, TRENDS COGN SCI","453","4.5"
"1","SUMMERFIELD C, 2009, TRENDS COGN SCI","453","4.43"
"1","SIMONS DJ, 2005, TRENDS COGN SCI","453","4.24"
"1","BAARS BJ, 2002, TRENDS COGN SCI","453","4.23"
"1","LESLIE AM, 1998, TRENDS COGN SCI","453","4.23"
"1","VANRULLEN R, 2003, TRENDS COGN SCI","453","4.17"
"1","BADDELEY A, 2000, TRENDS COGN SCI","453","4.1"
"1","TALLON-BAUDRY C, 1999, TRENDS COGN SCI","453","4.09"
"1","HASSON U, 2015, TRENDS COGN SCI","453","3.97"
"1","KOUIDER S, 2010, TRENDS COGN SCI","453","3.85"
"1","GALLAGHER S, 2000, TRENDS COGN SCI","453","3.81"
"1","SINGER W, 1997, TRENDS COGN SCI","453","3.76"
"1","SCHROEDER CE, 2008, TRENDS COGN SCI","453","3.67"
"1","KING JR, 2014, TRENDS COGN SCI","453","3.56"
"1","CLEEREMANS A, 2020, TRENDS COGN SCI","453","3.44"
"1","BLOCK N, 2011, TRENDS COGN SCI","453","3.43"
"1","AWH E, 2012, TRENDS COGN SCI","453","3.31"
"1","HASSON U, 2012, TRENDS COGN SCI","453","3.31"
"1","ARNAL LH, 2012, TRENDS COGN SCI","453","3.31"
"1","FRANCONERI SL, 2013, TRENDS COGN SCI","453","3.27"
"1","SILVER MA, 2009, TRENDS COGN SCI","453","3.22"
"1","CAVANAGH P, 2010, TRENDS COGN SCI","453","3.15"
"1","KIM CY, 2005, TRENDS COGN SCI","453","3.09"
"1","HE S, 1997, TRENDS COGN SCI","453","3.01"
"1","MUDRIK L, 2014, TRENDS COGN SCI","453","2.97"
"1","AWH E, 2006, TRENDS COGN SCI","453","2.91"
"1","GAZZALEY A, 2012, TRENDS COGN SCI","453","2.83"
"1","KLINGBERG T, 2010, TRENDS COGN SCI","453","2.8"
"1","LAVIE N, 2005, TRENDS COGN SCI","453","2.7"
"1","LAUREYS S, 2005, TRENDS COGN SCI","453","2.7"
"1","BAYNE T, 2016, TRENDS COGN SCI","453","2.69"
"1","VANRULLEN R, 2016, TRENDS COGN SCI","453","2.69"
"1","LI ZP, 2002, TRENDS COGN SCI","453","2.64"
"1","BLOCK N, 2019, TRENDS COGN SCI","453","2.64"
"1","FIEBELKORN IC, 2019, TRENDS COGN SCI","453","2.64"
"1","OLIVA A, 2007, TRENDS COGN SCI","453","2.63"
"1","FECTEAU JH, 2006, TRENDS COGN SCI","453","2.55"
"1","TONONI G, 1998, TRENDS COGN SCI","453","2.54"
"1","DRIVER J, 1998, TRENDS COGN SCI","453","2.54"
"1","THOMPSON E, 2001, TRENDS COGN SCI","453","2.49"
"1","SOTO D, 2014, TRENDS COGN SCI","453","2.37"
"1","COHEN MA, 2012, TRENDS COGN SCI","453","2.36"
"1","JENSEN O, 2012, TRENDS COGN SCI","453","2.36"
"1","ENNS JT, 2000, TRENDS COGN SCI","453","2.34"
"1","SILVANTO J, 2008, TRENDS COGN SCI","453","2.3"
"1","SETH AK, 2008, TRENDS COGN SCI","453","2.3"
"1","PANZERI S, 2015, TRENDS COGN SCI","453","2.27"
"1","COHEN MA, 2016, TRENDS COGN SCI","453","2.15"
"1","OLIVERS CNL, 2011, TRENDS COGN SCI","453","2.06"
"1","SIMONS DJ, 2000, TRENDS COGN SCI","453","2.05"
