"Cluster","documents","ClusterFrequency","NormalizedLocalCitationScore"
"1","DOSENBACH NUF, 2008, TRENDS COGN SCI","55","6.89"
"1","BADRE D, 2008, TRENDS COGN SCI","55","5.97"
"1","SHEA N, 2014, TRENDS COGN SCI","55","5.93"
"1","DUNCAN J, 2010, TRENDS COGN SCI","55","5.25"
"1","BADRE D, 2018, TRENDS COGN SCI","55","4.32"
"1","MONTAGUE PR, 2012, TRENDS COGN SCI","55","4.25"
"1","VUILLEUMIER P, 2005, TRENDS COGN SCI","55","4.24"
"1","CAVANAGH JF, 2014, TRENDS COGN SCI","55","2.97"
"1","BOTVINICK MM, 2008, TRENDS COGN SCI","55","2.76"
"1","HILLS TT, 2015, TRENDS COGN SCI","55","2.27"
"1","BORNKESSEL-SCHLESEWSKY I, 2015, TRENDS COGN SCI","55","2.27"
"1","HOMMEL B, 2004, TRENDS COGN SCI","55","2.13"
"1","JACK AI, 2002, TRENDS COGN SCI","55","2.11"
"1","MUNAKATA Y, 2011, TRENDS COGN SCI","55","2.06"
"1","AMODIO DM, 2019, TRENDS COGN SCI","55","1.98"
"1","OTT T, 2019, TRENDS COGN SCI","55","1.98"
"1","BURGESS PW, 2007, TRENDS COGN SCI","55","1.97"
"1","WOLPERT DM, 2001, TRENDS COGN SCI","55","1.86"
"1","PEZZULO G, 2018, TRENDS COGN SCI","55","1.85"
"1","SANFEY AG, 2006, TRENDS COGN SCI","55","1.82"
"1","HAMPSHIRE A, 2015, TRENDS COGN SCI","55","1.7"
"1","PESSOA L, 2009, TRENDS COGN SCI","55","1.61"
"1","HAYHOE M, 2005, TRENDS COGN SCI","55","1.54"
"1","SCHILLER D, 2010, TRENDS COGN SCI","55","1.4"
"1","TSUJIMOTO S, 2011, TRENDS COGN SCI","55","1.37"
"1","KRAUZLIS RJ, 2014, TRENDS COGN SCI","55","1.19"
"1","RICHMOND LL, 2017, TRENDS COGN SCI","55","1.15"
"1","ROSATI AG, 2017, TRENDS COGN SCI","55","1.15"
"1","CRONE EA, 2017, TRENDS COGN SCI","55","1.15"
"1","PEZZULO G, 2016, TRENDS COGN SCI","55","1.08"
"1","GRABENHORST F, 2011, TRENDS COGN SCI","55","1.03"
"1","DU Y, 2022, TRENDS COGN SCI","55","1"
"1","LEVY I, 2021, TRENDS COGN SCI","55","0.9"
"1","MUSSLICK S, 2021, TRENDS COGN SCI","55","0.9"
